owner_name,associate_id,facility_count,active_facility_count,flags,classification,reason
Joseph Hirsch,0143687152,2,2,"sffc,portfolio,network",index,two_or_more_active_facilities
Miriam R Tausner,0143687707,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Karie Mann,0143691121,1,1,network,index,single_facility_with_context:network
Claus Jensen,0143691493,1,1,network,index,single_facility_with_context:network
Eric Flugel,0143697144,1,1,"sff,network",index,"single_facility_with_context:sff,network"
Mkja Opco LLC,0143699306,4,4,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
Ky Realty Holdings LLC,0143700260,2,0,"portfolio,network",suppress,no_active_facilities
Unknown party,0143700484,1,1,network,index,single_facility_with_context:network
Jeffrey Dejohn,0143702951,1,1,network,index,single_facility_with_context:network
Jacob Barber,0143703223,1,1,network,index,single_facility_with_context:network
Emanuel Librowicz,0143703645,1,1,network,index,single_facility_with_context:network
Jessica Dieguez,0143703652,1,1,network,index,single_facility_with_context:network
Danielle Bierfeldt,0143704866,1,1,network,index,single_facility_with_context:network
Unknown party,0143705707,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0143707232,1,1,network,index,single_facility_with_context:network
Susan Jurczynski,0143707547,1,1,network,index,single_facility_with_context:network
Unknown party,0143707984,1,1,network,index,single_facility_with_context:network
Minerva Frias,0143708206,1,1,network,index,single_facility_with_context:network
Unknown party,0143708420,1,1,network,index,single_facility_with_context:network
Unknown party,0143711606,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0143713602,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0143714204,1,1,network,index,single_facility_with_context:network
Unknown party,0143714402,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Rod Gorter,0143714501,1,1,network,index,single_facility_with_context:network
Unknown party,0143715318,1,1,network,index,single_facility_with_context:network
Unknown party,0143716530,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Raymond Neff,0143716639,1,1,network,index,single_facility_with_context:network
239 Crooked River Realty LLC,0143716670,1,1,network,index,single_facility_with_context:network
Unknown party,0143716894,1,1,network,index,single_facility_with_context:network
Palmer Avenue SNF Operations Holdings LLC,0143719609,1,1,network,index,single_facility_with_context:network
Unknown party,0143722991,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Lamons Starks,0143724153,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
American Plan Administrators LLC,0143725176,2,2,"multi_state,portfolio,network",index,two_or_more_active_facilities
Unknown party,0143726802,1,1,network,index,single_facility_with_context:network
Sandra Demetrices George,0143729269,1,1,network,index,single_facility_with_context:network
Cassidy Barnes,0143729277,1,1,network,index,single_facility_with_context:network
Unknown party,0143729772,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0143730028,1,1,network,index,single_facility_with_context:network
Unknown party,0143731117,1,1,network,index,single_facility_with_context:network
Unknown party,0143732156,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0143733071,1,1,network,index,single_facility_with_context:network
Jason Torres,0143733782,1,1,network,index,single_facility_with_context:network
Naomi Apuhin,0143733790,1,1,network,index,single_facility_with_context:network
Shelretha L. Lasure,0143733808,1,1,network,index,single_facility_with_context:network
Jessica E. Walton,0143733899,1,1,network,index,single_facility_with_context:network
Fairway Oaks Holdco LLC,0143734137,1,1,network,index,single_facility_with_context:network
Unknown party,0143734210,1,1,network,index,single_facility_with_context:network
Unknown party,0143735076,1,1,network,index,single_facility_with_context:network
Unknown party,0143735381,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Lawrence Ford,0143736314,1,1,network,index,single_facility_with_context:network
Unknown party,0143738336,1,1,network,index,single_facility_with_context:network
Diana Caughron,0143741546,1,1,network,index,single_facility_with_context:network
Flora Bernard,0143741843,1,1,network,index,single_facility_with_context:network
Unknown party,0143741983,1,1,network,index,single_facility_with_context:network
Rhea Perez,0143745166,1,1,network,index,single_facility_with_context:network
Unknown party,0143745216,1,1,network,index,single_facility_with_context:network
Eran Rotem,0143745398,1,1,network,index,single_facility_with_context:network
Unknown party,0143746131,1,1,network,index,single_facility_with_context:network
Christopher Roma,0143746230,1,1,network,index,single_facility_with_context:network
Harborview Peninsula Holdings LLC,0143746511,1,1,network,index,single_facility_with_context:network
Unknown party,0143747006,1,1,network,index,single_facility_with_context:network
Unknown party,0143748616,1,1,network,index,single_facility_with_context:network
Unknown party,0143748681,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0143749754,1,1,network,index,single_facility_with_context:network
Brent Sabarre,0143750968,1,1,network,index,single_facility_with_context:network
David Collins,0143755173,2,2,"portfolio,network",index,two_or_more_active_facilities
Gerald Luterman,0143757468,1,1,network,index,single_facility_with_context:network
Elevate Care Consulting LLC,0143758664,11,11,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Laura Bridgeford,0143762666,139,139,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
David Lider,0143765495,1,1,network,index,single_facility_with_context:network
Unknown party,0143791814,1,1,network,index,single_facility_with_context:network
Unknown party,0143795039,1,1,network,index,single_facility_with_context:network
Leonard Koliani,0244123487,1,1,network,index,single_facility_with_context:network
Steven I Goldstein,0244126324,4,3,"portfolio,network",index,two_or_more_active_facilities
Keith Myers,0244128213,1,1,network,index,single_facility_with_context:network
"Bank of America, N.a.",0244147833,4,4,"multi_state,portfolio,network",index,two_or_more_active_facilities
"New Port Richey Medical Investors, LLC",0244148518,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
James Norman Estes Jr Tr,0244148765,33,33,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Ruleme Center LLC,0244149284,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Michael M Biderman,0244149797,7,7,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
"301 Union Street, LLC",0244201150,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Melwood Nursing Center, LLC.",0244204139,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Marvin J. Ostreicher,0244206886,41,41,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Richard P Mackessy,0244206936,1,1,network,index,single_facility_with_context:network
Kevin Daubenmire,0244241750,14,14,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Steven Landa,0244259208,5,5,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Esther Gewirtz,0244269843,6,6,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Charles W Yates,0244275758,1,1,network,index,single_facility_with_context:network
Ellen Susan Reinheimer,0244277168,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
"Susquehanna Nursing & Rehabilitation Center, LLC",0244282614,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Michael K Burke,0244290948,7,7,"abuse,portfolio,network",index,two_or_more_active_facilities
Dinesh Sethi,0244292407,2,2,"portfolio,network",index,two_or_more_active_facilities
Adaora O Okoli Umeweni,0244292738,1,1,network,index,single_facility_with_context:network
Cara Spadola,0244308138,2,2,"abuse,sff,portfolio,network",index,two_or_more_active_facilities
Bronxcare Special Care Center,0244335917,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
David G Goldbas,0244354082,1,1,network,index,single_facility_with_context:network
Mordechai Blass,0244363141,4,4,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Brian Picchini,0244364636,2,2,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Bracha Inc,0244371433,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Archie White,0244374833,1,1,network,index,single_facility_with_context:network
Soloman Vogel,0244394864,1,1,network,index,single_facility_with_context:network
Mosholu Parkway Nursing and Rehabilitation Center,0244405868,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Rose Kasper,0244417723,5,5,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Harold S. Lappin,0244436822,1,1,network,index,single_facility_with_context:network
Harold F Tranchon,0244462679,1,1,network,index,single_facility_with_context:network
Jennifer Alexander,0244463578,3,3,"sffc,portfolio,network",index,two_or_more_active_facilities
Avery D Mcknight,0244469039,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
M and B Operations LLC,0244471613,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Marvin Ostreicher Family Trust 2012,0244475457,23,23,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Thomas Williamson,0244486215,1,1,network,index,single_facility_with_context:network
Jeffrey Cleveland,0244492767,4,4,"portfolio,network",index,two_or_more_active_facilities
Freedom Group of Sarasota Health Care Inc,0244494920,1,1,network,index,single_facility_with_context:network
Michelle Flowers,0244507119,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Christina M Iadanza,0244513653,1,1,network,index,single_facility_with_context:network
Rose Knittel,0244522381,1,1,network,index,single_facility_with_context:network
Federation Ccrc Operations Corp.,0244524288,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Aryeh Donowitz,0244524569,1,1,network,index,single_facility_with_context:network
Brandon J Augustyniak,0244531697,1,1,network,index,single_facility_with_context:network
Solaris Healthcare Windermere LLC,0244531945,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Deena Mccullough,0244534618,2,2,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
John Shulansky,0244541019,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Michael Jennings,0244542967,1,1,network,index,single_facility_with_context:network
Christine A Johnson,0244549517,1,1,,noindex_follow,single_facility_no_context
Dorota Barannowska,0244549889,1,1,network,index,single_facility_with_context:network
Sean D Nonnemaker,0244549921,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Usher Eisen,0244550705,1,1,network,index,single_facility_with_context:network
"North Port Rehab, LLC",0244567782,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Taylor L Spaulding,0244569531,1,1,network,index,single_facility_with_context:network
Dana Penny,0244576346,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Naumaan Javed Hafeez,0244577310,1,1,network,index,single_facility_with_context:network
"North Dade SNF Operating Company, LLC",0244579530,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
Rivka C Kleiman,0244584712,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Concordia of Florida Inc,0244591782,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Linka Dyer-farrell,0244592889,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Gerri Bannister,0244594158,1,1,network,index,single_facility_with_context:network
Yrnc Operating LLC,0244595171,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Christopher R Denapoles,0244596302,4,4,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Harbour View Senior Living Corp,0244603421,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Rafael Cziment,0244603884,2,2,"portfolio,network",index,two_or_more_active_facilities
Tyh 2017 Trust,0244611051,22,22,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Biko Hannibal,0244611721,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
M Meisels Family Holdings LLC,0244616886,11,11,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Margaret M Crotty,0244617157,1,1,network,index,single_facility_with_context:network
Broughan Gorey,0244617421,1,1,network,index,single_facility_with_context:network
John Heyer,0244619658,1,1,network,index,single_facility_with_context:network
Complete Care at Phillipsburg LLC,0244637254,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Frederick Yeo,0244641660,1,1,network,index,single_facility_with_context:network
Robert James Sposato,0244649143,1,1,"abuse,sffc",index,"single_facility_with_context:abuse,sffc"
Alan D Mathios,0244649598,1,1,network,index,single_facility_with_context:network
Kyle Bolden,0244669430,1,1,network,index,single_facility_with_context:network
15TH Street East SNF Parent LLC,0244673895,1,1,network,index,single_facility_with_context:network
Moorestown Operator Holdco LLC,0244674273,1,1,network,index,single_facility_with_context:network
702 S Kings Ave Opco LLC,0244674786,1,1,"recent_chow,network,affiliated,operator_grouping",index,"single_facility_with_context:recent_chow,network,affiliated"
Lake City Holdco LLC,0244678670,1,1,network,index,single_facility_with_context:network
Gardens Holdco LLC,0244680148,1,1,network,index,single_facility_with_context:network
Linda Schofield,0244682201,1,1,network,index,single_facility_with_context:network
Miami Road Opco LLC,0244682896,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Excel Nursing Holdco LLC,0244684595,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Bp Crescent Trust,0244694966,1,1,network,index,single_facility_with_context:network
Heartland Boca Opco LLC,0244699965,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Margaret MC Sherry-martino,0244708469,1,1,network,index,single_facility_with_context:network
Aaron Becher,0244710036,2,2,"portfolio,network",index,two_or_more_active_facilities
Unknown party,0244711539,1,1,"sff,network",index,"single_facility_with_context:sff,network"
Aurnc Realty LLC,0244712057,1,1,network,index,single_facility_with_context:network
Unknown party,0244712800,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0244715746,1,1,network,index,single_facility_with_context:network
Unknown party,0244716157,1,1,network,index,single_facility_with_context:network
Unknown party,0244716165,1,1,network,index,single_facility_with_context:network
Unknown party,0244716173,1,1,network,index,single_facility_with_context:network
Unknown party,0244716454,1,1,network,index,single_facility_with_context:network
Vernon Manor SNF Realty LLC,0244717312,1,1,network,index,single_facility_with_context:network
Unknown party,0244717338,1,1,network,index,single_facility_with_context:network
Noreen Lavoie,0244717700,1,1,network,index,single_facility_with_context:network
Unknown party,0244721991,1,1,network,index,single_facility_with_context:network
Unknown party,0244722288,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Beverly Magidson,0244722973,1,1,network,index,single_facility_with_context:network
Unknown party,0244723351,1,1,network,index,single_facility_with_context:network
"PH-MC, LLC",0244724185,2,2,"portfolio,network",index,two_or_more_active_facilities
Unknown party,0244724508,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Unknown party,0244727287,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Ocean Grove Propco LLC,0244728285,1,1,network,index,single_facility_with_context:network
Gardenview Opco Holding LLC,0244729242,1,1,network,index,single_facility_with_context:network
Unknown party,0244729796,1,1,network,index,single_facility_with_context:network
Unknown party,0244730059,1,1,network,index,single_facility_with_context:network
Jacob Scheiner,0244732915,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Quintana Quintoria Reed,0244737617,1,1,network,index,single_facility_with_context:network
Unknown party,0244739209,1,1,network,index,single_facility_with_context:network
Unknown party,0244739498,1,1,network,index,single_facility_with_context:network
Fishman Group LLC,0244739514,1,1,network,index,single_facility_with_context:network
Unknown party,0244740546,1,1,network,index,single_facility_with_context:network
Mrr Consulting Inc,0244740900,1,1,network,index,single_facility_with_context:network
Unknown party,0244743458,1,1,network,index,single_facility_with_context:network
Unknown party,0244743995,1,1,network,index,single_facility_with_context:network
Unknown party,0244744621,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0244747210,1,1,network,index,single_facility_with_context:network
Jason Krein,0244749976,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0244751642,1,1,network,index,single_facility_with_context:network
Botanical Trust,0244754505,1,1,network,index,single_facility_with_context:network
Unknown party,0244754562,2,2,"portfolio,network",index,two_or_more_active_facilities
Rannel Westberry,0244756310,1,1,network,index,single_facility_with_context:network
Luella Ramm,0244757730,1,1,network,index,single_facility_with_context:network
Plainview Healthcare Partners LLC,0244758969,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0244767515,1,1,network,index,single_facility_with_context:network
Havens SNF Operator Holdco LLC,0244768240,1,1,network,index,single_facility_with_context:network
Paz Najman,0244769446,2,2,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
"Marianna Rehabilitation Center, LLC",0244769719,1,1,"recent_chow,network,affiliated,operator_grouping",index,"single_facility_with_context:recent_chow,network,affiliated"
Danita Rayford,0244770857,2,2,"abuse,sff,portfolio,network",index,two_or_more_active_facilities
Loretto Health and Rehabilitation Center,0345149969,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Springpoint Senior Living Inc,0345150397,8,8,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
"FI-CASA Mora, LLC",0345150850,1,1,"abuse,sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:abuse,sffc,network"
Michael Adams,0345151684,1,1,network,index,single_facility_with_context:network
East Bay Nc LLC,0345153052,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Forrest L Preston,0345157285,139,139,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
"National Health Investors, Inc.",0345158952,18,18,"sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Dhimantkumar A Pandya,0345201364,2,2,"portfolio,network",index,two_or_more_active_facilities
Catholic Health Services Inc,0345243564,2,2,"abuse,portfolio,network",index,two_or_more_active_facilities
Lauren M Doherty,0345246427,1,1,network,index,single_facility_with_context:network
Solomon Rubin,0345252334,8,8,"multi_state,portfolio,network",index,two_or_more_active_facilities
Martin Elson,0345258554,1,1,network,index,single_facility_with_context:network
Terry Henry,0345260964,114,114,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Eliezer J Zelman,0345298642,4,4,"portfolio,network",index,two_or_more_active_facilities
Lori Aavik,0345301164,1,1,network,index,single_facility_with_context:network
Sandra Sullivan-smith,0345306320,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Joseph Jicha,0345317509,2,2,"portfolio,network",index,two_or_more_active_facilities
Kara Odom Walker,0345322707,2,2,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
Vivek Garipalli,0345325379,1,1,network,index,single_facility_with_context:network
Mark J Hagan,0345330569,1,1,network,index,single_facility_with_context:network
Seth Rinn,0345336400,2,2,"multi_state,portfolio,network",index,two_or_more_active_facilities
Gregory J Collins,0345345922,1,1,network,index,single_facility_with_context:network
Ross Baird,0345382495,1,1,network,index,single_facility_with_context:network
Scott Vangorder,0345385613,1,1,network,index,single_facility_with_context:network
"Sprain Brook Manor Rehab, LLC",0345405106,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Kathleen Z Dess,0345415378,1,1,network,index,single_facility_with_context:network
Jason A Watt,0345416731,2,2,"portfolio,network",index,two_or_more_active_facilities
"Dos of Hialeah, Inc",0345416970,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Peyman Younesi,0345420790,10,10,"sffc,portfolio,network",index,two_or_more_active_facilities
Jaime Marie Ruszkowski,0345426912,1,1,network,index,single_facility_with_context:network
