Provider Number,Facility Name,Address,City,State,Zip,Phone Number,Most Recent Inspection,Met Survey Criteria,Months as an SFF
125007,Hale Makua - Kahului,472 Kaulana Street,Kahului,HI,96732,808-877-2761,12/08/2025,Not Met,20
165531,Garden View Care Center,1200 West Nishna Road,Shenandoah,IA,51601,712-246-4515,01/08/2026,Met,8
165350,Pine Acres Rehabilitation And Care Center,1501 Office Park Road,West Des Moines,IA,50265,515-223-1223,01/09/2026,Not Met,10
135058,Silverton Health And Rehabilitation Of Cascadia,405 West Seventh Street,Silverton,ID,83867,208-556-1147,12/10/2025,Met,9
146097,El Paso Rehabilitation And Health Care Center,850 East Second Street,El Paso,IL,61738,309-527-2700,01/08/2026,Not Met,33
145850,City View Multicare Center,5825 West Cermak Road,Cicero,IL,60804,708-656-9120,01/09/2026,Met,32
145811,Arcadia Care Peoria Heights,1629 East Gardner Lane,Peoria Heights,IL,61616,309-685-1545,02/25/2026,Not Met,26
145389,Arcadia Care Watseka,715 East Raymond Road,Watseka,IL,60970,815-432-5476,09/23/2025,Met,12
155270,Core Of Dale,510 W Medcalf Road,Dale,IN,47523,812-937-7073,11/19/2025,Met,1
155426,Signature Healthcare Of Terre Haute,3500 Maple Ave,Terre Haute,IN,47804,812-238-1555,12/10/2025,Not Met,8
175298,Riverbend Post Acute Rehabilitation,7850 Freeman Avenue,Kansas City,KS,66112,913-334-3666,01/12/2026,Met,12
185165,Lyndon Crossing,1101 Lyndon Lane,Louisville,KY,40222,502-425-0331,12/04/2025,Not Met,15
195488,White Oak Post Acute Care,2828 Westfork,Baton Rouge,LA,70816,225-291-7049,12/04/2025,Not Met,1
225412,Medway Country Manor Skilled Nursing & Rehabilitat,115 Holliston Street,Medway,MA,02053,508-259-7883,02/06/2026,Not Met,1
225049,Pine Knoll Nursing Center,30 Watertown Street,Lexington,MA,02420,413-693-3330,09/19/2025,Not Met,3
215085,Carroll Park Healthcare,3330 Wilkens Avenue,Baltimore,MD,21229,410-525-1544,12/08/2025,Not Met,11
205180,Windward Gardens,105 Mechanic Street,Camden,ME,04843,207-236-4197,12/08/2025,Met,13
235664,Mission Point Nursing & Physical Rehabilitation Center Of Beverly Hills,18200 W 13 Mile Road,Beverly Hills,MI,48025,248-940-5390,02/11/2026,Met,12
235719,Lakeside Manor Nursing And Rehabilitation Center,13990 Lakeside Circle,Sterling Heights,MI,48313,586-488-1400,08/14/2025,Met,6
245028,Highland Chateau Health And Rehabilitation Center,2319 West Seventh Street,Saint Paul,MN,55116,651-698-0793,11/20/2025,Not Met,13
245289,The Terrace At Crystal Llc,3245 Vera Cruz Avenue North,Crystal,MN,55422,763-971-6300,02/12/2026,Met,22
265433,Lincoln County Nursing & Rehab,1145 East Cherry Street,Troy,MO,63379,636-528-5712,09/11/2025,Met,3
265258,Belleview Valley Nursing Home,23144 Highway 32,Belleview,MO,63623,573-697-5311,12/16/2025,Met,12
265118,Aspen Point Health And Rehabilitation,2840 West Clay St,Saint Charles,MO,63301,636-946-6100,01/12/2026,Met,21
255172,Starkville Manor Health Care And Rehabilitation Center,1001 Hospital Road,Starkville,MS,39759,662-323-6360,,,3
275120,Billings Rehabilitation And Nursing Llc,600 S 27th St,Billings,MT,59101,406-259-8000,,,20
345489,Rockwell Park Rehabilitation And Healthcare Center,1930 West Sugar Creek Road,Charlotte,NC,28262,704-598-4480,,,21
345529,Universal Health Care/North Raleigh,5201 Clarks Fork Drive Nw,Raleigh,NC,27616,919-872-7033,,,12
355093,Good Samaritan Society - Bottineau,725 E 10th St,Bottineau,ND,58318,701-228-3796,,,23
285054,The Banyan At Montclair,2525 South 135th Avenue,Omaha,NE,68144,402-333-2304,,,21
305045,Pleasant View Center,239 Pleasant Street,Concord,NH,03301,603-224-6561,,,3
315324,Trenton Gardens Rehabilitation And Nursing Center,512 Union Street,Trenton,NJ,08611,609-393-8622,01/27/2026,Not Met,1
315125,Crystal Lake Healthcare And Rehabilitation,395 Lakeside Blvd,Bayville,NJ,08721,732-269-0500,01/06/2026,Not Met,8
325038,Casa Real,1650 Galisteo Street,Santa Fe,NM,87505,505-984-8313,12/09/2025,Not Met,9
295067,Ormsby Post Acute Rehabilitation,3050 N Ormsby Road,Carson City,NV,89703,775-841-4646,12/15/2025,Not Met,0
335744,Grand Manor Nursing & Rehabilitation Center,700 White Plains Road,Bronx,NY,10473,718-518-8892,12/22/2025,Not Met,36
335184,Van Duyn Center For Rehabilitation And Nursing,5075 West Seneca Turnpike,Syracuse,NY,13215,315-449-6000,09/15/2025,Not Met,6
335082,Waterview Heights Rehabilitation And Nursing Center,135 Meridan St.,Rochester,NY,14612,585-663-0930,12/08/2025,Not Met,27
366328,Divine Rehabilitation And Nursing At Toledo,1011 North Byrne Road,Toledo,OH,43607,419-536-7600,08/18/2025,Not Met,2
366094,Continuing Healthcare Of Gahanna,167 North Stygler Road,Gahanna,OH,43230,614-475-8778,09/11/2025,Met,2
365370,Momentous Health At Richfield,4360 Brecksville Rd,Richfield,OH,44286,330-659-6166,02/13/2026,Not Met,2
365780,Marietta Heights Post Acute,5001 State Route 60,Marietta,OH,45750,740-373-8920,01/15/2026,Met,16
365826,Continuing Healthcare Of Cuyahoga Falls,300 East Bath Road,Cuyahoga Falls,OH,44223,330-929-6272,01/14/2026,Met,25
375303,Wewoka Healthcare Center,1400 West First Street,Wewoka,OK,74884,405-257-3393,02/12/2026,Met,2
375582,Park Place Healthcare And Rehab,1530 Ne Grand Blvd,Oklahoma City,OK,73117,405-768-1155,09/16/2025,Not Met,23
385072,Corvallis Manor,160 Ne Conifer Blvd,Corvallis,OR,97330,541-757-1651,09/18/2025,Met,3
395289,Wecare At South Hills Rehabilitation And Nrsg Ctr,201 Village Drive,Canonsburg,PA,15317,724-746-1300,12/03/2025,Not Met,0
395623,Grandview Nursing And Rehabilitation,78 Woodbine Lane,Danville,PA,17821,570-275-5240,12/03/2025,Not Met,0
395985,Midtown Oaks Health & Rehab Center,1020 Green Avenue,Altoona,PA,16601,814-946-2700,12/31/2025,Met,10
395751,Rochester Residence And Care Center,174 Virginia Avenue,Rochester,PA,15074,724-775-6400,01/09/2026,Not Met,10
415084,Elmhurst Rehabilitation And Healthcare Center,50 Maude Street,Providence,RI,02908,401-456-2600,01/08/2026,Not Met,43
425302,Rehab Center Of Cheraw,1150 State Road,Cheraw,SC,29520,843-537-2060,01/15/2026,Not Met,25
435039,Avantara Norton,3600 South Norton Avenue,Sioux Falls,SD,57105,605-338-9891,12/04/2025,Met,1
445262,Eaton Creek Post Acute,4343 Ashland City Highway,Nashville,TN,37218,615-726-0492,02/19/2026,Met,4
445237,Church Hill Post-Acute And Rehabilitation Center,701 West Main Blvd,Church Hill,TN,37642,423-357-7178,09/11/2025,Not Met,3
675112,Coral Rehabilitation And Nursing Of Arlington,1112 Gibbins Rd,Arlington,TX,76011,817-274-2584,,,11
455725,Oakmont Healthcare And Rehabilitation Of Humble,8450 Will Clayton Pkwy,Humble,TX,77338,281-446-8484,,,9
675879,Terrell Healthcare Center,204 W Nash,Terrell,TX,75160,972-563-7668,,,8
675595,Harmony Care At Beaumont,2660 Brickyard Rd,Beaumont,TX,77703,409-892-1533,,,6
675918,Gracy Woods Nursing Center,12021 Metric Blvd,Austin,TX,78758,512-228-3300,,,12
675085,Paradigm At Woodwind Lakes,7215 Windfern Rd,Houston,TX,77040,713-466-8933,,,22
465086,Mountain View Health Services,5865 South Wasatch Drive,Ogden,UT,84403,801-479-8480,,,4
495193,Henrico Health & Rehabilitation Center,561 North Airport Drive,Highland Springs,VA,23075,804-737-0172,,,14
525262,Rock River Nursing & Rehab,430 Wilcox St,Fort Atkinson,WI,53538,920-563-5533,,,14
525074,Madison Health And Rehabilitation Center,110 Belmont Rd,Madison,WI,53714,608-249-7391,,,19
515087,Cedar Ridge Center,302 Cedar Ridge Road,Sissonville,WV,25320,304-984-0046,,,0
535022,The Legacy Living And Rehabilitation Center,1000 S Douglas Way,Gillette,WY,82716,307-688-7000,,,12
