Provider Number,Facility Name,Address,City,State,Zip,Phone Number,Date of Graduation,Months as an SFF
355031,"Minot Health And Rehab, Llc",600 S Main St,Minot,ND,58701,701-852-1255,07/18/2023,25
355024,The Meadows On University,1315 S University Dr,Fargo,ND,58103,701-237-3030,04/03/2024,9
285239,Emerald Nursing & Rehab Legacy Pointe Llc,3110 Scott Circle,Omaha,NE,68112,402-455-6636,06/11/2024,20
305081,Birch Healthcare Center,62 Rochester Hill Road,Rochester,NH,03867,603-335-3955,08/31/2023,22
305051,"Keene Center, Genesis Healthcare",677 Court Street,Keene,NH,03431,603-357-3800,06/17/2024,9
315390,Cranford Park Care,600 Lincoln Park East,Cranford,NJ,07016,908-276-7100,08/22/2024,18
315183,Premier Cadbury Of Cherry Hill,2150 Route 38,Cherry Hill,NJ,08002,856-667-4550,11/15/2022,19
315280,Silver Healthcare Center,1417 Brace Road,Cherry Hill,NJ,08034,856-795-3131,07/28/2025,33
325045,Princeton Health & Rehabilitation,500 Louisiana Boulevard Ne,Albuquerque,NM,87108,505-255-1717,05/08/2023,25
325131,Spanish Trails Rehabilitation Suites,1610 N Renaissance Blvd Ne,Albuquerque,NM,87107,505-600-4800,06/05/2025,24
295000,Pershing General Hospital Snf,855 6th Street,Lovelock,NV,89419,775-273-2621,05/22/2025,31
335338,Bishop Rehabilitation And Nursing Center,918 James Street,Syracuse,NY,13203,315-474-1561,09/10/2025,42
335638,Buffalo Center For Rehabilitation And Nursing,1014 Delaware Ave,Buffalo,NY,14209,716-883-6782,03/13/2023,12
335565,The Grand Rehabilitation And Nursing At Barnwell,3230 Church Street,Valatie,NY,12184,518-758-6222,11/16/2023,20
365704,Advanced Healthcare Center,955 Garden Lake Pkwy,Toledo,OH,43614,419-382-2200,02/09/2024,27
366150,Astoria Place Of Cincinnati,3627 Harvey Avenue,Cincinnati,OH,45229,513-961-8881,10/24/2024,18
365218,Blue Ash Care Center,4900 Cooper Road,Cincinnati,OH,45242,513-793-3362,03/17/2023,14
366039,Majestic Care Of Point Place,6101 N Summit St,Toledo,OH,43611,419-727-7870,03/29/2024,9
365379,The Laurels Of Walden Park,5700 Karl Road,Columbus,OH,43229,614-846-5420,05/24/2023,12
365748,White Oak Manor,1926 Ridge Avenue,Warren,OH,44484,330-369-4672,01/11/2023,36
375573,Cross Timbers Nursing And Rehabilitation,1400 Buena Vista Avenue,Midwest City,OK,73110,405-251-9988,04/18/2025,10
375568,Maplewood Care Center,6202 East 61st Street,Tulsa,OK,74136,918-494-8830,05/30/2024,9
375463,Pauls Valley Care Center,1413 South Chickasaw Street,Pauls Valley,OK,73075,405-238-6411,08/09/2023,18
375334,Shady Rest Care Center,210 South Adair,Pryor,OK,74361,918-825-4455,10/04/2023,20
385189,Avamere Transitional Care At Sunnyside,4515 Sunnyside Road Se,Salem,OR,97302,503-370-8284,01/26/2023,10
385224,Windsor Health & Rehabilitation Center,820 Cottage Street Ne,Salem,OR,97301,503-399-1135,01/08/2024,11
395397,Edenbrook On Second Ave,200 Second Avenue,Kingston,PA,18704,570-288-9315,11/06/2024,31
395421,Glen Brook Rehabilitation And Healthcare Center,801 East 16th Street,Berwick,PA,18603,570-759-5400,05/01/2025,43
395193,Rosemont Center,35 Rosemont Avenue,Rosemont,PA,19010,610-580-0400,03/21/2024,23
425145,Pruitthealth- Aiken,830 Laurens Street North,Aiken,SC,29801,803-649-6264,12/14/2022,14
425289,The Reserve Healthcare And Rehabilitation,1800 Eagle Landing Blvd,Charleston,SC,29410,843-553-0656,02/22/2024,14
435046,Good Samaritan Society Sioux Falls Center,401 West Second Street,Sioux Falls,SD,57104,605-336-6252,07/12/2023,27
445387,Parkway Health And Rehabilitation Center,200 South Parkway West,Memphis,TN,38109,901-942-7456,09/30/2025,25
676233,Bandera Nursing & Rehabilitation,222 Fm 1077,Bandera,TX,78003,830-796-4077,01/13/2023,12
675799,Brenham Nursing And Rehabilitation Center,400 E Sayles St,Brenham,TX,77833,979-836-9770,11/15/2023,29
676045,Brentwood Terrace Healthcare And Rehabilitation,2885 Stillhouse Road,Paris,TX,75460,903-784-4111,07/01/2025,11
675746,Coronado Nursing Center,1751 N 15th St,Abilene,TX,79603,325-673-3531,02/16/2024,10
675817,Ft Worth Southwest Nursing Center,5300 Alta Mesa Blvd,Fort Worth,TX,76133,817-346-1800,02/21/2024,16
455565,Palestine Healthcare Center,1816 Tile Factory Rd,Palestine,TX,75801,903-729-2261,09/11/2025,21
676040,Paradigm At The Prairies,106 Del Norte Dr,El Campo,TX,77437,979-543-6762,04/24/2023,15
675371,Riverview Nursing & Rehabilitation,1102 River Rd,Boerne,TX,78006,830-249-2799,04/07/2025,14
676132,Trail Lake Nursing & Rehabilitation,7100 Trail Lake Dr,Fort Worth,TX,76133,817-263-2224,06/13/2025,15
465112,Monument Healthcare Bountiful,460 West 2600 South,Bountiful,UT,84010,801-295-3135,04/19/2023,18
495235,Williamsburg Post Acute & Rehabilitation,1235 S Mount Vernon Avenue,Williamsburg,VA,23185,757-229-4121,12/02/2024,41
475014,Premier Rehab And Healthcare At Burlington,300 Pearl Street,Burlington,VT,05401,802-658-4200,10/09/2023,23
505296,Avalon Healthcare - Bellingham,3121 Squalicum Parkway,Bellingham,WA,98225,360-734-6760,03/20/2024,25
525409,Pine View Care Center,400 County Rd R,Black River Falls,WI,54615,715-284-5396,07/31/2024,53
525108,Resolve At West Allis Respiratory And Rehab,9047 W Greenfield Ave,West Allis,WI,53214,414-453-9290,01/10/2025,43
515186,Bluestone Health And Rehabilitation,1600 Bland Street,Bluefield,WV,24701,304-327-2485,06/09/2023,21
515169,Valley Center,1000 Lincoln Drive,South Charleston,WV,25309,304-768-4400,11/18/2024,17
535026,Big Horn Rehabilitation And Care Center,1851 Big Horn Ave,Sheridan,WY,82801,307-674-4416,03/05/2025,20
535025,Polaris Rehabilitation And Care Center,2700 E 12th Street,Cheyenne,WY,82001,307-634-7986,07/10/2023,21
