ORGANIZATION NAME,Legal Business Name,CCN,Provider Name,State,City/Town,Chain ID,Chain Name
"PELHAM PARKWAY NURSING CARE & REHABILITATION FACILITY, LLC","PELHAM PARKWAY NURSING CARE & REHABILITATION FACILITY, LLC",335486,PELHAM PARKWAY NURSING CARE & REHAB FACILITY L L C,NY,BRONX,,
GLENWOOD VILLAGE CARE CENTER INC,GLENWOOD VILLAGE CARE CENTER INC,245402,GLENWOOD VILLAGE CARE CENTER,MN,GLENWOOD,,
"CHS - OHIO VALLEY, INC","CHS - OHIO VALLEY, INC",366153,TERRACE VIEW GARDENS,OH,CINCINNATI,225,FOUNDATIONS HEALTH SOLUTIONS
SHELL ROCK HEALTHCARE CENTER INC,SHELL ROCK HEALTHCARE CENTER INC,165309,Shell Rock Senior Living,IA,Shell Rock,8,ACCURA HEALTHCARE
"KARLSTAD HEALTHCARE CENTER, INC","KARLSTAD HEALTHCARE CENTER, INC",245468,Karlstad Healthcare Center Inc,MN,KARLSTAD,8,ACCURA HEALTHCARE
CITY OF LAKES CARE CENTER,CITY OF LAKES CARE CENTER,245266,Benedictine Health Center Of Minneapolis,MN,MINNEAPOLIS,75,BENEDICTINE HEALTH SYSTEM
"MABEL HEALTHCARE CENTER, INC","MABEL HEALTHCARE CENTER, INC",245536,Green Lea Senior Living,MN,MABEL,8,ACCURA HEALTHCARE
INVER WOOD HEALTHCARE CENTER INC,INVER WOOD HEALTHCARE CENTER INC,245320,Woodlyn Heights Healthcare Center,MN,INVER GROVE HEIGHTS,8,ACCURA HEALTHCARE
"LAKE ANDES HEALTH CARE CENTER, INC.","LAKE ANDES HEALTH CARE CENTER, INC.",435097,LAKE ANDES SENIOR LIVING,SD,LAKE ANDES,8,ACCURA HEALTHCARE
"FAULKTON HEALTHCARE CENTER, INC","FAULKTON HEALTHCARE CENTER, INC",435084,FAULKTON SENIOR LIVING,SD,FAULKTON,8,ACCURA HEALTHCARE
"TRACY HEALTHCARE CENTER, INC","TRACY HEALTHCARE CENTER, INC",245371,Prairie View Senior Living,MN,TRACY,8,ACCURA HEALTHCARE
STERLING PARK HEALTHCARE CENTER INC,STERLING PARK HEALTHCARE CENTER INC,245375,STERLING PARK HEALTH CARE CENTER,MN,WAITE PARK,,
WILMOT CARE CENTER,WILMOT CARE CENTER,435119,Wilmot Care Center Inc,SD,WILMOT,,
"CLINTON CONVALESCENT CENTER, INC.","CLINTON CONVALESCENT CENTER, INC.",265742,OAKRIDGE OF PLATTSBURG,MO,PLATTSBURG,,
SCENIC LIVING COMMUNITIES INC,SCENIC LIVING COMMUNITIES INC,165472,Scenic Manor,IA,IOWA FALLS,,
PRESBYTERIAN HOMES MILL POND INC,PRESBYTERIAN HOMES MILL POND INC,165261,Mill-Pond,IA,Ankeny,412,PRESBYTERIAN HOMES & SERVICES
BANGOR NURSING & REHABILITATION CENTER,BANGOR NURSING & REHABILITATION CENTER,205020,Bangor Nursing & Rehabilitation Center,ME,BANGOR,167,COVENANT HEALTH
WESLEY RETIREMENT SERVICES INC,WESLEY RETIREMENT SERVICES INC,165167,The Village,IA,INDIANOLA,561,WESLEYLIFE
THE MANOR INC,THE MANOR INC,475057,"The Manor, Inc.",VT,Morrisville,,
"VALLEY VIEW HEALTH AND REHABILITATION, LLC","VALLEY VIEW HEALTH AND REHABILITATION, LLC",015431,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,MADISON,372,NHS MANAGEMENT
"CIVIC CENTER HEALTH AND REHABILITATION, LLC","CIVIC CENTER HEALTH AND REHABILITATION, LLC",015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,BIRMINGHAM,372,NHS MANAGEMENT
"SOUTH HEALTH AND REHABILITATION, LLC","SOUTH HEALTH AND REHABILITATION, LLC",015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,BIRMINGHAM,372,NHS MANAGEMENT
"CHS - MIAMI VALLEY, INC","CHS - MIAMI VALLEY, INC",366198,GOLDEN YEARS NURSING CENTER,OH,HAMILTON,225,FOUNDATIONS HEALTH SOLUTIONS
OAK KNOLL HEALTH AND REHABILITATION LLC,OAK KNOLL HEALTH AND REHABILITATION LLC,015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,BIRMINGHAM,372,NHS MANAGEMENT
"WETUMPKA HEALTH AND REHABILITATION, LLC","WETUMPKA HEALTH AND REHABILITATION, LLC",015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,WETUMPKA,372,NHS MANAGEMENT
COUNTY OF ROCKINGHAM,COUNTY OF ROCKINGHAM,305046,Rockingham County Nursing Home,NH,BRENTWOOD,,
"GATEWAY CARE CENTER, LLC","GATEWAY CARE CENTER, LLC",315177,GATEWAY CARE CENTER,NJ,EATONTOWN,685,THE ROSENBERG FAMILY
FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS INC,FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS INC,375427,"Fairview Fellowship Home For Senior Citizens, Inc",OK,Fairview,,
"CHS - MT. HEALTHY, INC","CHS - MT. HEALTHY, INC",366251,"HOME AT HEARTHSTONE, THE",OH,CINCINNATI,225,FOUNDATIONS HEALTH SOLUTIONS
THE METHODIST HOSPITAL,THE METHODIST HOSPITAL,675370,THE METHODIST HOSPITAL SNF,TX,HOUSTON,,
"OPOP, LLC","OPOP, LLC",335726,BEACON REHABILITATION AND NURSING CENTER,NY,ROCKAWAY PARK,,
STATE OF TEXAS VETERANS LAND BOARD,STATE OF TEXAS VETERANS LAND BOARD,675857,William R Courtney Texas State Veterans Home,TX,Temple,503,TEXVET
OTTERBEIN CRIDERSVILLE,OTTERBEIN CRIDERSVILLE,366050,OTTERBEIN-CRIDERSVILLE,OH,CRIDERSVILLE,389,OTTERBEIN SENIORLIFE
OTTERBEIN ST MARYS,OTTERBEIN ST MARYS,365953,OTTERBEIN ST MARYS RETIREMENT COMMUNITY,OH,ST MARYS,389,OTTERBEIN SENIORLIFE
OTTERBEIN LEBANON,OTTERBEIN LEBANON,365346,OTTERBEIN LEBANON RETIREMENT COMMUNITY,OH,LEBANON,389,OTTERBEIN SENIORLIFE
CRANBERRY PLACE,CRANBERRY PLACE,395845,CRANBERRY PLACE,PA,CRANBERRY TOWNSHIP,537,UPMC SENIOR COMMUNITIES
"NEW PORT RICHEY MEDICAL INVESTORS, LLC","NEW PORT RICHEY MEDICAL INVESTORS, LLC",106049,LIFE CARE CENTER OF NEW PORT RICHEY,FL,NEW PORT RICHEY,311,LIFE CARE CENTERS OF AMERICA
HEALTH FACILITIES INC.,HEALTH FACILITIES INC.,105770,TRI-COUNTY NURSING HOME,FL,TRENTON,,
"GORHAM HEALTH CARE, INC","GORHAM HEALTH CARE, INC",205166,GORHAM HOUSE,ME,GORHAM,,
HEBREW OLD AGE CENTER OF ATLANTIC CITY,HEBREW OLD AGE CENTER OF ATLANTIC CITY,315340,ATLAS HEALTHCARE AT SEASHORE GARDENS,NJ,GALLOWAY TOWNSHIP,,
CLOVER MANOR INC,CLOVER MANOR INC,205063,CLOVER HEALTH CARE,ME,AUBURN,,
"BETHESDA HOME OF ABERDEEN, INC.","BETHESDA HOME OF ABERDEEN, INC.",435073,Bethesda Home of Aberdeen,SD,ABERDEEN,,
"CAPE GIRARDEAU OPERATIONS, LLC","CAPE GIRARDEAU OPERATIONS, LLC",265185,LIFE CARE CENTER OF CAPE GIRARDEAU,MO,CAPE GIRARDEAU,311,LIFE CARE CENTERS OF AMERICA
"SULLIVAN OPERATIONS, LLC","SULLIVAN OPERATIONS, LLC",265340,LIFE CARE CENTER OF SULLIVAN,MO,SULLIVAN,311,LIFE CARE CENTERS OF AMERICA
"INVERRARY MEDICAL INVESTORS, LLC","INVERRARY MEDICAL INVESTORS, LLC",106047,LIFE CARE CENTER AT INVERRARY,FL,LAUDERHILL,311,LIFE CARE CENTERS OF AMERICA
ST FRANCIS MANOR INC,ST FRANCIS MANOR INC,165480,St Francis Manor,IA,GRINNELL,,
"GLEN HAVEN HEALTH AND REHABILITATION, LLC","GLEN HAVEN HEALTH AND REHABILITATION, LLC",015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,NORTHPORT,372,NHS MANAGEMENT
HUNTER CREEK HEALTH AND REHABILITATION LLC,HUNTER CREEK HEALTH AND REHABILITATION LLC,015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,NORTHPORT,372,NHS MANAGEMENT
"OPP HEALTH AND REHABILITATION, LLC","OPP HEALTH AND REHABILITATION, LLC",015210,"OPP HEALTH AND REHABILITATION, LLC",AL,OPP,372,NHS MANAGEMENT
"OZARK HEALTH AND REHABILITATION, LLC","OZARK HEALTH AND REHABILITATION, LLC",015208,"OZARK HEALTH AND REHABILITATION, LLC",AL,OZARK,372,NHS MANAGEMENT
CALVIN COMMUNITY,CALVIN COMMUNITY,165479,Calvin Community,IA,Des Moines,,
VALLEY VISTA CARE CORPORATION,VALLEY VISTA CARE CORPORATION,135055,Valley Vista Care Center of Sandpoint,ID,SANDPOINT,,
"ALTERCARE OF NAVARRE CENTER FOR REHABILITATION AND NURSING CARE, INC.","ALTERCARE OF NAVARRE CENTER FOR REHABILITATION AND NURSING CARE, INC.",365482,ALTERCARE OF NAVARRE CTR FOR REHAB & NRSG CARE,OH,NAVARRE,26,ALTERCARE
PEACEHEALTH,PEACEHEALTH,025010,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,KETCHIKAN,,
"ALTERCARE OF WADSWORTH CENTER FOR REHABILITATION & NURSING CARE, INC","ALTERCARE OF WADSWORTH CENTER FOR REHABILITATION & NURSING CARE, INC",365268,ALTERCARE OF WADSWORTH,OH,WADSWORTH,26,ALTERCARE
"ALTERCARE POST-ACUTE REHABILITATION CENTER, INC.","ALTERCARE POST-ACUTE REHABILITATION CENTER, INC.",365300,ALTERCARE POST-ACUTE REHAB CENTER,OH,KENT,26,ALTERCARE
"ALTERCARE OF ALLIANCE CENTER FOR REHABILITATION AND NURSING CARE, INC.","ALTERCARE OF ALLIANCE CENTER FOR REHABILITATION AND NURSING CARE, INC.",365402,ALTERCARE OF ALLIANCE CTR FOR REHAB & NC INC,OH,ALLIANCE,26,ALTERCARE
"ALTERCARE OF HARTVILLE CENTER FOR REHABILITATION & NURSING CARE, INC.","ALTERCARE OF HARTVILLE CENTER FOR REHABILITATION & NURSING CARE, INC.",366027,ALTERCARE OF HARTVILLE CTR FOR,OH,HARTVILLE,26,ALTERCARE
ALTERCARE OF BUCYRUS CENTER FOR REHABILITATION & NURSING CARE INC,ALTERCARE OF BUCYRUS CENTER FOR REHABILITATION & NURSING CARE INC,365625,ALTERCARE OF BUCYRUS CENTER FO,OH,BUCYRUS,26,ALTERCARE
"SHEPHERD OF THE VALLEY LUTHERAN RETIREMENT SERVICES, INC.","SHEPHERD OF THE VALLEY LUTHERAN RETIREMENT SERVICES, INC.",365298,SHEPHERD OF THE VALLEY LIBERTY,OH,GIRARD,,
"GENERATIONS HEALTH ASSOCIATION, INC","GENERATIONS HEALTH ASSOCIATION, INC",445388,GENERATIONS CENTER OF SPENCER,TN,SPENCER,,
RATLIFF ENTERPRISES LLC,RATLIFF ENTERPRISES LLC,265747,RATLIFF CARE CENTER,MO,CAPE GIRARDEAU,,
MATTATUCK HEALTH CARE FACILITY INC,MATTATUCK HEALTH CARE FACILITY INC,075432,"MATTATUCK HEALTH CARE FACILITY, INC.",CT,WATERBURY,,
ST LUKE HOMES & SERVICES INC,ST LUKE HOMES & SERVICES INC,165484,St Luke Lutheran Nursing Home,IA,SPENCER,,
"LINEVILLE HEALTH AND REHABILITATION, LLC","LINEVILLE HEALTH AND REHABILITATION, LLC",015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,LINEVILLE,372,NHS MANAGEMENT
GREGSTON NURSING HOME INC,GREGSTON NURSING HOME INC,375425,"GREGSTON NURSING HOME, INC.",OK,MARLOW,,
VILLA MARIA INC,VILLA MARIA INC,175456,Villa Maria,KS,MULVANE,,
RUTHVEN COMMUNITY CARE CENTER INC,RUTHVEN COMMUNITY CARE CENTER INC,165486,Ruthven Community Care Center,IA,RUTHVEN,,
SUNRISE MANOR,SUNRISE MANOR,165473,Sunrise Retirement Community,IA,SIOUX CITY,,
ASHLAND NURSING HOME CORPORATION,ASHLAND NURSING HOME CORPORATION,185449,Kingsbrook Lifecare Center,KY,Ashland,,
"LUVERNE HEALTH AND REHABILITATION, LLC","LUVERNE HEALTH AND REHABILITATION, LLC",015336,"LUVERNE HEALTH AND REHABILITATION, LLC",AL,LUVERNE,372,NHS MANAGEMENT
"PARK MANOR HEALTH AND REHABILITATION, LLC","PARK MANOR HEALTH AND REHABILITATION, LLC",015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,NORTHPORT,372,NHS MANAGEMENT
NEW HAMPSHIRE ODDFELLOWS HOME,NEW HAMPSHIRE ODDFELLOWS HOME,305063,PRESIDENTIAL OAKS,NH,CONCORD,,
COLONIAL MANORS OF COLUMBUS COMMUNITY INC,COLONIAL MANORS OF COLUMBUS COMMUNITY INC,165476,Colonial Manors of Columbus Community,IA,Columbus Junction,,
"PRUITTHEALTH - ROCK HILL, LLC","PRUITTHEALTH - ROCK HILL, LLC",425127,PruittHealth- Rock Hill,SC,Rock Hill,434,PRUITTHEALTH
"PRUITTHEALTH - DILLON, LLC","PRUITTHEALTH - DILLON, LLC",425113,PruittHealth- Dillon,SC,Dillon,434,PRUITTHEALTH
RBM OPCO OF LEBANON LLC,RBM OPCO OF LEBANON LLC,495365,MAPLE GROVE NURSING & REHAB CENTER,VA,LEBANON,302,KISSITO HEALTHCARE
MOUNDVILLE HEALTH AND REHABILITATION LLC,MOUNDVILLE HEALTH AND REHABILITATION LLC,015187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,MOUNDVILLE,372,NHS MANAGEMENT
STATE OF COLORADO,STATE OF COLORADO,065380,VETERANS COMMUNITY LIVING CENTER AT FITZSIMONS,CO,AURORA,,
UNITED PRESBYTERIAN HOME,UNITED PRESBYTERIAN HOME,165482,United Presbyterian Home,IA,Washington,,
OCEANVIEW NURSING & REHABILITATION CENTER LLC,OCEANVIEW NURSING & REHABILITATION CENTER LLC,335168,OCEANVIEW NURSING & REHABILITATION CARE CENTER,NY,FAR ROCKAWAY,,
MORAN NURSING LLC,MORAN NURSING LLC,175224,MORAN MANOR,KS,MORAN,34,AMERICARE SENIOR LIVING
SABETHA NURSING LLC,SABETHA NURSING LLC,175241,SABETHA MANOR,KS,SABETHA,34,AMERICARE SENIOR LIVING
"OSAGE NURSING, LLC","OSAGE NURSING, LLC",175256,OSAGE NURSING & REHABILITATION CENTER,KS,OSAGE CITY,34,AMERICARE SENIOR LIVING
"NORTH POINT SKILLED NURSING, LLC","NORTH POINT SKILLED NURSING, LLC",175276,NORTH POINT SKILLED NURSING CENTER,KS,PAOLA,34,AMERICARE SENIOR LIVING
"UNIVERSITY MANOR HEALTHCARE GROUP, INC","UNIVERSITY MANOR HEALTHCARE GROUP, INC",365832,UNIVERSITY MANOR HEALTH & REHA,OH,CLEVELAND,461,SABER HEALTHCARE GROUP
"PIONEER NURSING, LLC","PIONEER NURSING, LLC",265169,PIONEER SKILLED NURSING CENTER,MO,MARCELINE,34,AMERICARE SENIOR LIVING
"HERITAGE HEALTH CARE, LLC","HERITAGE HEALTH CARE, LLC",175249,HERITAGE HEALTH CARE CENTER,KS,CHANUTE,34,AMERICARE SENIOR LIVING
ST. CLAIR NURSING LLC,ST. CLAIR NURSING LLC,265495,ST CLAIR NURSING CENTER,MO,SAINT CLAIR,34,AMERICARE SENIOR LIVING
"PLEASANT VALLEY NURSING, LLC","PLEASANT VALLEY NURSING, LLC",175232,PLEASANT VALLEY MANOR,KS,SEDAN,34,AMERICARE SENIOR LIVING
BOONVILLE NO2 INC,BOONVILLE NO2 INC,265361,RIVERDELL CARE CENTER,MO,BOONVILLE,145,CIRCLE B ENTERPRISES
WHEATLAND NURSING LLC,WHEATLAND NURSING LLC,175286,WHEATLAND NURSING & REHABILITATION CENTER,KS,RUSSELL,34,AMERICARE SENIOR LIVING
"GALENA NURSING & REHAB, LLC","GALENA NURSING & REHAB, LLC",175233,GALENA NURSING & REHAB CENTER,KS,GALENA,34,AMERICARE SENIOR LIVING
"CHAFFEE NURSING, LLC","CHAFFEE NURSING, LLC",265492,CHAFFEE NURSING CENTER,MO,CHAFFEE,34,AMERICARE SENIOR LIVING
HERITAGE NURSING LLC,HERITAGE NURSING LLC,265531,HERITAGE NURSING CENTER - SKILLED NURSING BY AMERI,MO,KENNETT,34,AMERICARE SENIOR LIVING
MCGUFFEY HEALTHCARE LLC,MCGUFFEY HEALTHCARE LLC,015202,MCGUFFEY HEALTH & REHABILITATION CENTER,AL,GADSDEN,,
"PATRIOTS COLONY, INC.","PATRIOTS COLONY, INC.",495369,RIVERSIDE LIFELONG HEALTH & REHABILITATION PATRI,VA,WILLIAMSBURG,453,RIVERSIDE HEALTH SYSTEM
"ROSE PARK HEALTHCARE ASSOCIATES,INC.","ROSE PARK HEALTHCARE ASSOCIATES,INC.",055353,SHORELINE HEALTHCARE CENTER,CA,LONG BEACH,507,THE ENSIGN GROUP
H & G NURSING HOMES INC,H & G NURSING HOMES INC,366143,ADAMS COUNTY MANOR,OH,WEST UNION,,
"WASCO COUNTY NURSING CARE, INC.","WASCO COUNTY NURSING CARE, INC.",385049,COLUMBIA BASIN CARE FACILITY,OR,THE DALLES,,
HENRY & JANE VONDERLIETH LIVING CENTER INC,HENRY & JANE VONDERLIETH LIVING CENTER INC,146042,"H & J VONDERLIETH LVG CTR, THE",IL,MOUNT PULASKI,651,HERITAGE OPERATIONS GROUP
NEW SURFSIDE NURSING HOME LLC,NEW SURFSIDE NURSING HOME LLC,335165,PREMIER NSG & REHAB CENTER OF FAR ROCKAWAY,NY,FAR ROCKAWAY,646,BENJAMIN LANDA
TWILIGHT ACRES INC.,TWILIGHT ACRES INC.,165488,Twilight Acres,IA,WALL LAKE,,
WESLEY VILLAGE,WESLEY VILLAGE,146047,WESLEY VILLAGE,IL,MACOMB,,
GREENFIELD MANOR INC,GREENFIELD MANOR INC,165383,Greenfield Rehabilitation & Health Care Center,IA,Greenfield,,
MERCY SERVICES FOR AGING NONPROFIT HOUSING CORPORATION,MERCY SERVICES FOR AGING NONPROFIT HOUSING CORPORATION,235470,Bellbrook,MI,Rochester Hills,525,TRINITY HEALTH
DECKERVILLE NURSING CENTER LLC,DECKERVILLE NURSING CENTER LLC,235446,Autumnwood of Deckerville,MI,Deckerville,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
"NORTHERN LIGHTS SERVICES, INC.","NORTHERN LIGHTS SERVICES, INC.",525567,NORTHERN LIGHTS HCC,WI,WASHBURN,,
"THE LINGENFELTER CENTER, LTD","THE LINGENFELTER CENTER, LTD",035262,THE LINGENFELTER CENTER,AZ,KINGMAN,,
UNITED HOSPITAL CENTER INC,UNITED HOSPITAL CENTER INC,515107,UNITED TRANSITIONAL CARE CENTER,WV,BRIDGEPORT,,
"NORTHFIELD VILLAGE RETIREMENT COMMUNITY, LTD.","NORTHFIELD VILLAGE RETIREMENT COMMUNITY, LTD.",366275,NORTHFIELD VILLAGE RETIREMENT COMMUNITY,OH,NORTHFIELD,555,VRC MANAGEMENT
LUTHERAN RETIREMENT HOME INC.,LUTHERAN RETIREMENT HOME INC.,165485,Lutheran Retirement Home,IA,Northwood,,
"FUTURE CARE-IRVINGTON, LLC","FUTURE CARE-IRVINGTON, LLC",215219,FUTURE CARE IRVINGTON,MD,BALTIMORE,232,FUTURE CARE/LIFEBRIDGE HEALTH
"VIRGINIA HEALTH SERVICES, INC","VIRGINIA HEALTH SERVICES, INC",495276,WALTER REED NURSING & REHABILITATION CENTER,VA,GLOUCESTER,551,VIRGINIA HEALTH SERVICES
DELHAVEN MANOR NO 2 INC,DELHAVEN MANOR NO 2 INC,265392,DELHAVEN MANOR,MO,SAINT LOUIS,145,CIRCLE B ENTERPRISES
WINDSOR CARE CENTER NATIONAL CITY INC,WINDSOR CARE CENTER NATIONAL CITY INC,055954,WINDSOR GARDENS CONV CENTER OF SAN DIEGO,CA,NATIONAL CITY,566,WINDSOR
CPSR ASSOCIATES LLC,CPSR ASSOCIATES LLC,396085,Mon Valley Care Center,PA,MONONGAHELA,,
BERKSHIRE RETIREMENT HOME INC,BERKSHIRE RETIREMENT HOME INC,225762,BERKSHIRE PLACE,MA,PITTSFIELD,,
